<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	02:50:00	4513.638	4513.638	4512.459	4513.455	287	0	160
2025.12.29	02:51:00	4513.339	4514.239	4513.057	4513.567	138	0	160
2025.12.29	02:52:00	4513.564	4514.149	4513.182	4513.361	156	0	160
2025.12.29	02:53:00	4513.331	4513.331	4510.386	4511.397	310	0	160
2025.12.29	02:54:00	4511.349	4512.903	4510.587	4512.580	276	0	160
2025.12.29	02:55:00	4512.586	4514.593	4511.958	4513.709	268	0	160
2025.12.29	02:56:00	4513.755	4514.579	4511.350	4511.403	280	0	160
2025.12.29	02:57:00	4511.294	4511.294	4509.359	4509.714	350	0	160
2025.12.29	02:58:00	4509.765	4511.784	4509.572	4511.783	256	0	160
2025.12.29	02:59:00	4511.707	4512.788	4511.204	4512.367	354	0	160
2025.12.29	03:00:00	4512.321	4513.393	4512.206	4512.777	239	0	160
2025.12.29	03:01:00	4512.818	4513.240	4512.227	4512.805	231	0	160
2025.12.29	03:02:00	4512.839	4513.000	4510.537	4510.590	207	0	160
2025.12.29	03:03:00	4510.650	4510.741	4509.462	4509.899	173	0	160
2025.12.29	03:04:00	4509.842	4511.844	4509.696	4511.747	246	0	160
2025.12.29	03:05:00	4511.747	4514.045	4511.311	4513.784	439	0	160
2025.12.29	03:06:00	4513.804	4516.056	4513.483	4516.032	717	0	160
2025.12.29	03:07:00	4516.060	4517.177	4515.348	4516.415	725	0	160
2025.12.29	03:08:00	4516.424	4518.802	4516.412	4518.494	470	0	160
2025.12.29	03:09:00	4518.583	4518.850	4517.010	4517.120	276	0	160
2025.12.29	03:10:00	4517.022	4517.199	4515.933	4516.179	279	0	160
2025.12.29	03:11:00	4516.228	4518.217	4516.183	4517.796	320	0	160
2025.12.29	03:12:00	4517.689	4518.050	4515.984	4516.558	339	0	160
2025.12.29	03:13:00	4516.527	4517.876	4516.358	4517.151	463	0	160
2025.12.29	03:14:00	4517.164	4517.164	4514.603	4515.362	348	0	160
2025.12.29	03:15:00	4515.324	4516.302	4514.549	4515.091	321	0	160
2025.12.29	03:16:00	4515.166	4515.699	4513.998	4514.512	254	0	160
2025.12.29	03:17:00	4514.489	4515.291	4513.901	4514.820	310	0	160
2025.12.29	03:18:00	4514.854	4515.958	4514.162	4515.639	278	0	160
2025.12.29	03:19:00	4515.577	4516.789	4515.208	4515.417	225	0	160
2025.12.29	03:20:00	4515.413	4515.413	4514.231	4514.642	293	0	160
2025.12.29	03:21:00	4514.637	4516.960	4514.218	4516.684	382	0	160
2025.12.29	03:22:00	4516.680	4516.975	4515.043	4515.196	381	0	160
2025.12.29	03:23:00	4515.241	4517.417	4515.040	4517.036	387	0	160
2025.12.29	03:24:00	4517.083	4517.823	4516.153	4516.309	399	0	160
2025.12.29	03:25:00	4516.267	4516.830	4515.227	4515.697	285	0	160
2025.12.29	03:26:00	4515.647	4518.346	4515.610	4516.378	548	0	160
2025.12.29	03:27:00	4516.327	4516.743	4515.357	4515.980	268	0	160
2025.12.29	03:28:00	4515.969	4515.969	4512.202	4512.489	634	0	160
2025.12.29	03:29:00	4512.534	4513.313	4512.226	4512.800	366	0	160
2025.12.29	03:30:00	4512.833	4515.070	4512.833	4514.554	295	0	160
2025.12.29	03:31:00	4514.589	4515.907	4514.126	4515.907	227	0	160
2025.12.29	03:32:00	4515.804	4515.947	4514.500	4515.522	350	0	160
2025.12.29	03:33:00	4515.528	4516.040	4514.637	4515.964	235	0	160
2025.12.29	03:34:00	4515.891	4518.421	4515.708	4518.099	405	0	160
2025.12.29	03:35:00	4518.143	4520.608	4516.579	4516.622	451	0	160
2025.12.29	03:36:00	4516.592	4517.098	4515.839	4516.122	315	0	160
2025.12.29	03:37:00	4516.156	4516.548	4515.753	4516.066	170	0	160
2025.12.29	03:38:00	4516.041	4517.691	4515.687	4516.428	231	0	160
2025.12.29	03:39:00	4516.396	4516.800	4515.554	4515.977	195	0	160
2025.12.29	03:40:00	4515.987	4516.148	4514.541	4514.928	222	0	160
2025.12.29	03:41:00	4514.820	4515.207	4513.952	4515.068	260	0	160
2025.12.29	03:42:00	4515.059	4515.357	4514.066	4514.197	213	0	160
2025.12.29	03:43:00	4514.170	4515.834	4514.136	4515.798	206	0	160
2025.12.29	03:44:00	4515.762	4517.780	4515.691	4516.550	172	0	160
2025.12.29	03:45:00	4516.539	4516.964	4515.562	4515.814	162	0	160
2025.12.29	03:46:00	4515.773	4516.993	4515.079	4516.868	209	0	160
2025.12.29	03:47:00	4516.816	4517.505	4516.555	4516.705	147	0	160
2025.12.29	03:48:00	4516.698	4517.128	4516.193	4516.719	118	0	160
2025.12.29	03:49:00	4516.752	4516.966	4515.459	4516.022	164	0	160
2025.12.29	03:50:00	4515.977	4516.002	4513.732	4513.961	233	0	160
2025.12.29	03:51:00	4513.920	4514.694	4513.557	4514.179	234	0	160
2025.12.29	03:52:00	4514.137	4514.672	4513.805	4513.942	173	0	160
2025.12.29	03:53:00	4513.994	4515.046	4513.842	4514.848	111	0	160
2025.12.29	03:54:00	4514.843	4515.509	4514.504	4514.925	163	0	160
2025.12.29	03:55:00	4514.937	4515.696	4514.866	4514.974	167	0	160
2025.12.29	03:56:00	4514.973	4515.265	4513.775	4514.220	278	0	160
2025.12.29	03:57:00	4514.175	4515.893	4514.043	4515.433	268	0	160
2025.12.29	03:58:00	4515.413	4516.319	4515.413	4516.319	105	0	160
2025.12.29	03:59:00	4516.325	4516.528	4516.153	4516.325	98	0	160
2025.12.29	04:00:00	4516.340	4516.909	4515.166	4515.470	217	0	160
2025.12.29	04:01:00	4515.367	4516.370	4514.844	4516.110	151	0	160
2025.12.29	04:02:00	4516.095	4516.204	4515.235	4515.572	99	0	160
2025.12.29	04:03:00	4515.520	4515.848	4513.733	4514.592	336	0	160
2025.12.29	04:04:00	4514.629	4515.743	4514.078	4515.383	268	0	160
2025.12.29	04:05:00	4515.383	4515.671	4514.432	4514.432	177	0	160
2025.12.29	04:06:00	4514.400	4514.400	4509.828	4511.141	440	0	160
2025.12.29	04:07:00	4511.084	4513.375	4510.580	4511.734	395	0	160
2025.12.29	04:08:00	4511.687	4511.753	4509.665	4510.393	381	0	160
2025.12.29	04:09:00	4510.347	4510.570	4509.215	4509.552	371	0	160
2025.12.29	04:10:00	4509.571	4510.246	4507.570	4509.843	330	0	160
2025.12.29	04:11:00	4509.888	4511.933	4509.477	4511.768	285	0	160
2025.12.29	04:12:00	4511.794	4515.118	4511.678	4514.182	295	0	160
2025.12.29	04:13:00	4514.209	4515.324	4513.923	4515.217	214	0	160
2025.12.29	04:14:00	4515.235	4515.959	4514.506	4514.995	258	0	160
2025.12.29	04:15:00	4515.012	4515.115	4513.548	4513.852	347	0	160
2025.12.29	04:16:00	4513.860	4514.410	4513.006	4514.154	245	0	160
2025.12.29	04:17:00	4514.097	4514.846	4513.874	4513.874	214	0	160
2025.12.29	04:18:00	4513.890	4514.925	4512.851	4514.039	302	0	160
2025.12.29	04:19:00	4514.088	4514.859	4513.865	4514.298	188	0	160
2025.12.29	04:20:00	4514.312	4516.084	4513.832	4515.543	205	0	160
2025.12.29	04:21:00	4515.511	4515.511	4514.184	4514.302	146	0	160
2025.12.29	04:22:00	4514.412	4514.459	4512.097	4512.393	295	0	160
2025.12.29	04:23:00	4512.359	4513.394	4511.960	4512.486	197	0	160
2025.12.29	04:24:00	4512.465	4513.237	4512.172	4512.425	189	0	160
2025.12.29	04:25:00	4512.355	4512.818	4510.804	4511.290	249	0	160
2025.12.29	04:26:00	4511.313	4512.722	4510.861	4512.641	190	0	160
2025.12.29	04:27:00	4512.691	4513.518	4512.407	4513.339	118	0	160
2025.12.29	04:28:00	4513.270	4513.650	4513.028	4513.602	100	0	160
2025.12.29	04:29:00	4513.609	4514.604	4513.393	4514.094	168	0	160
2025.12.29	04:30:00	4514.136	4514.465	4513.797	4513.922	81	0	160
2025.12.29	04:31:00	4513.967	4514.154	4513.339	4513.822	128	0	160
2025.12.29	04:32:00	4513.882	4514.425	4513.104	4513.241	111	0	160
2025.12.29	04:33:00	4513.223	4515.034	4512.979	4514.953	162	0	160
2025.12.29	04:34:00	4514.993	4518.860	4514.799	4518.770	204	0	160
2025.12.29	04:35:00	4518.793	4519.452	4518.165	4518.395	264	0	160
2025.12.29	04:36:00	4518.385	4518.969	4517.665	4517.995	199	0	160
